id,Q2,Q6,Q8,Q10,Q12,Q14,Q19,Q17,Q21,Q26,Q24,Q28,Q30,Q32,Q34,age,organization_var,frame_var,weight
1,Female,Post-graduate degree,Very proud,Rural,Rural,Northern Vietnam,5,5,"No, I will let them decide what to do.",3,5,Slightly important,Slightly important,"No, I have not used traditional Chinese medicine.",Everyday,31,1,2,3.663160372
2,Female,University degree,Very proud,Urban,Rural,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,1,Not important at all,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a year,34,2,2,0.118696041
3,Male,University degree,Very proud,Urban,Both,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",2,2,Very important,Important,"Yes, I have used traditional Chinese medicine.",A few times a year,46,1,1,5.49E-05
4,Male,University degree,Somewhat proud,Urban,Urban,Northern Vietnam,7,5,"Yes, I will tell them not to buy pangolin products.",4,6,Slightly important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a month,35,1,3,5.49E-05
5,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,1,1,0.118696041
6,Female,University degree,Somewhat proud,Urban,Urban,Northern Vietnam,5,6,"Yes, I will tell them not to buy pangolin products.",1,1,Slightly important,Slightly important,"Yes, I have used traditional Chinese medicine.",A few times a year,31,2,1,0.118696041
7,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,32,1,2,0.118696041
8,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,31,2,3,0.118696041
9,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,33,2,1,0.118696041
10,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,31,2,2,0.118696041
11,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a week,30,1,3,0.118696041
12,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",4,4,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,30,2,3,0.118696041
13,Male,High school degree,Very proud,Rural,Rural,Northern Vietnam,6,7,"Yes, I will tell them not to buy pangolin products.",2,3,Important,Slightly important,"No, I have not used traditional Chinese medicine.",Not at all,20,2,2,10.00008081
14,Female,University degree,Very proud,Urban,Both,Northern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",7,7,Very important,Very important,"No, I have not used traditional Chinese medicine.",Not at all,36,1,1,0.118696041
15,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,4,4,"Yes, I will tell them not to buy pangolin products.",2,4,Important,Important,"Yes, I have used traditional Chinese medicine.",A few times a month,49,2,3,0.118696041
16,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,30,1,1,0.118696041
17,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,2,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,29,2,1,0.118696041
18,Female,University degree,Very proud,Urban,Urban,Southern Vietnam,7,7,"Yes, I will tell them not to buy pangolin products.",1,3,Very important,Very important,"Yes, I have used traditional Chinese medicine.",A few times a month,31,1,2,0.118696041
